,count,mean,median,mode,std,variance,coef_variation,min,25%,50%,75%,max,skewness,kurtosis
edad,7735170.0,40.02863427694543,38.0,28,16.965109532220556,287.8149,0.42382434071680636,0.0,28.0,38.0,51.0,164.0,0.4032,-0.0394
dias_sintomas_ingreso,7735170.0,2.945663508365039,2.0,2,2.8766009581918284,8.2748,0.9765545012262642,-13.0,1.0,2.0,4.0,430.0,7.212,550.7169
defuncion,7735170.0,0.043487861288116485,0.0,0,0.2039526233866702,0.0416,4.689874768396633,0.0,0.0,0.0,0.0,1.0,4.4767,18.0404
hospitalizacion,7735170.0,0.09616504873196065,0.0,0,0.2948174746703174,0.0869,3.065744556445425,0.0,0.0,0.0,0.0,1.0,2.7396,5.5052
sexo_hombre,7735170.0,0.4624529260507526,0.0,0,0.49858825635538984,0.2486,1.0781383969460958,0.0,0.0,0.0,1.0,1.0,0.1506,-1.9773
neumonia_dummy,7705445.0,0.06949968496303588,0.0,0,0.2543019605621917,0.0647,3.659037601356679,0.0,0.0,0.0,0.0,1.0,3.3857,9.4633
diabetes_dummy,7711682.0,0.08780250534189558,0.0,0,0.2830074836175622,0.0801,3.2232278853041247,0.0,0.0,0.0,0.0,1.0,2.913,6.4855
hipertension_dummy,7712691.0,0.11961493076800302,0.0,0,0.32451072826507016,0.1053,2.7129617195905844,0.0,0.0,0.0,0.0,1.0,2.3444,3.496
obesidad_dummy,7713878.0,0.09611948750032084,0.0,0,0.2947550557427029,0.0869,3.0665483494355814,0.0,0.0,0.0,0.0,1.0,2.7404,5.5101
inmunosupresion_dummy,7712655.0,0.005863480215308477,0.0,0,0.07634854661915315,0.0058,13.02102911847831,0.0,0.0,0.0,0.0,1.0,12.9442,165.5532
