variable,observaciones_validas,casos_1,casos_0,proporcion_1
defuncion,7735170,336386,7398784,0.0435
hospitalizacion,7735170,743853,6991317,0.0962
sexo_hombre,7735170,3577152,4158018,0.4625
neumonia_dummy,7705445,535526,7169919,0.0695
diabetes_dummy,7711682,677105,7034577,0.0878
hipertension_dummy,7712691,922553,6790138,0.1196
obesidad_dummy,7713878,741454,6972424,0.0961
inmunosupresion_dummy,7712655,45223,7667432,0.0059
epoc_dummy,7712662,53286,7659376,0.0069
asma_dummy,7712882,147008,7565874,0.0191
tabaquismo_dummy,7712233,417604,7294629,0.0541
uci_dummy,737665,55582,682083,0.0753
