,edad,dias_sintomas_ingreso,defuncion,hospitalizacion,sexo_hombre,neumonia_dummy,diabetes_dummy,hipertension_dummy,obesidad_dummy,inmunosupresion_dummy
edad,1.0,0.1252,0.2943,0.3201,-0.003,0.2638,0.3172,0.3862,0.0925,0.0428
dias_sintomas_ingreso,0.1252,1.0,0.1738,0.2345,0.0277,0.2113,0.0988,0.105,0.0793,0.0144
defuncion,0.2943,0.1738,1.0,0.6237,0.0653,0.5421,0.2115,0.2133,0.0782,0.0504
hospitalizacion,0.3201,0.2345,0.6237,1.0,0.0732,0.6917,0.2536,0.2455,0.0991,0.0758
sexo_hombre,-0.003,0.0277,0.0653,0.0732,1.0,0.0639,0.0026,-0.0054,-0.0137,-0.0047
neumonia_dummy,0.2638,0.2113,0.5421,0.6917,0.0639,1.0,0.2061,0.1979,0.0935,0.0555
diabetes_dummy,0.3172,0.0988,0.2115,0.2536,0.0026,0.2061,1.0,0.3962,0.1288,0.0514
hipertension_dummy,0.3862,0.105,0.2133,0.2455,-0.0054,0.1979,0.3962,1.0,0.1758,0.0427
obesidad_dummy,0.0925,0.0793,0.0782,0.0991,-0.0137,0.0935,0.1288,0.1758,1.0,0.0235
inmunosupresion_dummy,0.0428,0.0144,0.0504,0.0758,-0.0047,0.0555,0.0514,0.0427,0.0235,1.0
