modelo,variable,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
Logit,edad,0.000557,7e-06,76.785407,0.0,0.000543,0.000571
Logit,sexo_hombre,0.004802,0.000173,27.801978,0.0,0.004464,0.005141
Logit,diabetes_dummy,0.00466,0.000204,22.885297,0.0,0.004261,0.005059
Logit,hipertension_dummy,0.002839,0.000197,14.408091,0.0,0.002452,0.003225
Logit,obesidad_dummy,0.00408,0.000217,18.811599,0.0,0.003655,0.004505
Logit,neumonia_dummy,0.030253,0.000433,69.818319,0.0,0.029403,0.031102
Logit,inmunosupresion_dummy,0.005816,0.000611,9.511494,0.0,0.004617,0.007014
Probit,edad,0.00062,9e-06,70.281753,0.0,0.000602,0.000637
Probit,sexo_hombre,0.00546,0.000196,27.92021,0.0,0.005076,0.005843
Probit,diabetes_dummy,0.005634,0.00024,23.506602,0.0,0.005164,0.006104
Probit,hipertension_dummy,0.003567,0.000228,15.647684,0.0,0.00312,0.004013
Probit,obesidad_dummy,0.004548,0.000249,18.276086,0.0,0.00406,0.005036
Probit,neumonia_dummy,0.035958,0.000592,60.774094,0.0,0.034798,0.037118
Probit,inmunosupresion_dummy,0.007272,0.000705,10.321679,0.0,0.005891,0.008653
