modelo,p,d,q,aic,bic,llf
"ARIMA(2, 0, 2)",2,0,2,24750.367564,24784.700972,-12369.183782
"ARIMA(2, 1, 2)",2,1,2,25003.423637,25032.032596,-12496.711818
"ARIMA(1, 1, 2)",1,1,2,25008.032259,25030.919426,-12500.01613
"ARIMA(2, 1, 1)",2,1,1,25009.215026,25032.103965,-12500.607513
"ARIMA(0, 1, 2)",0,1,2,25013.343092,25030.508467,-12503.671546
"ARIMA(1, 0, 2)",1,0,2,25024.900794,25053.511967,-12507.450397
"ARIMA(1, 1, 1)",1,1,1,25031.777888,25048.944593,-12512.888944
"ARIMA(2, 0, 1)",2,0,1,25043.122373,25071.73576,-12516.561186
"ARIMA(0, 1, 1)",0,1,1,25048.121389,25059.565858,-12522.060694
"ARIMA(1, 0, 1)",1,0,1,25059.641522,25082.532232,-12525.820761
"ARIMA(2, 1, 0)",2,1,0,25227.718354,25244.885059,-12610.859177
"ARIMA(2, 0, 0)",2,0,0,25450.223374,25473.114085,-12721.111687
"ARIMA(1, 1, 0)",1,1,0,25461.900191,25473.345546,-12728.950095
"ARIMA(1, 0, 0)",1,0,0,26038.689226,26055.858587,-13016.344613
"ARIMA(0, 1, 0)",0,1,0,26068.897357,26074.620034,-13033.448678
"ARIMA(0, 0, 2)",0,0,2,28406.735692,28429.624631,-14199.367846
"ARIMA(0, 0, 1)",0,0,1,29701.872646,29719.040679,-14847.936323
