modelo,horizonte,rmse,mae,mape
Naive,7.0,0.534522,0.285714,100.0
Naive,14.0,0.377964,0.142857,100.0
Naive,30.0,0.316228,0.1,100.0
Promedio movil 7 dias,7.0,0.534522,0.285714,100.0
Promedio movil 7 dias,14.0,0.377964,0.142857,100.0
Promedio movil 7 dias,30.0,0.316228,0.1,100.0
Exponential Smoothing,7.0,0.534399,0.285813,99.976891
Exponential Smoothing,14.0,0.377877,0.143022,99.976891
Exponential Smoothing,30.0,0.316155,0.100185,99.976891
"ARIMA(2, 0, 2)",7.0,3.216583,3.120536,343.942737
"ARIMA(2, 0, 2)",14.0,6.776938,5.962285,343.942737
"ARIMA(2, 0, 2)",30.0,17.38199,14.621597,872.84077
